[2026-02-24 10:33:33,998] INFO [Broker id=1] Transitioning 52 partition(s) to local leaders. (state.change.logger)
[2026-02-24 10:33:34,152] INFO [Broker id=1] Leader __consumer_offsets-44 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,156] INFO [Broker id=1] Leader __consumer_offsets-23 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,158] INFO [Broker id=1] Leader __consumer_offsets-19 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,160] INFO [Broker id=1] Leader __consumer_offsets-32 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,162] INFO [Broker id=1] Leader __consumer_offsets-28 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,166] INFO [Broker id=1] Leader __consumer_offsets-7 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,168] INFO [Broker id=1] Leader __consumer_offsets-40 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,170] INFO [Broker id=1] Leader __consumer_offsets-3 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,172] INFO [Broker id=1] Leader __consumer_offsets-36 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,172] INFO [Broker id=1] Leader __consumer_offsets-47 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,172] INFO [Broker id=1] Leader __consumer_offsets-14 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,172] INFO [Broker id=1] Leader __consumer_offsets-43 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,182] INFO [Broker id=1] Leader __consumer_offsets-10 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,182] INFO [Broker id=1] Leader __consumer_offsets-22 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-18 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-31 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-27 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-39 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-6 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-35 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,185] INFO [Broker id=1] Leader __consumer_offsets-2 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
